2023-04-05 18:09:04,025 INFO [root] [base.py | __init__:14] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="aeed9c94705f64a9f66bf8d981399223")>
2023-04-05 18:09:04,028 INFO [root] [base.py | __init__:14] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="aeed9c94705f64a9f66bf8d981399223")>
2023-04-05 18:09:04,028 INFO [root] [base.py | __init__:14] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="aeed9c94705f64a9f66bf8d981399223")>
2023-04-05 18:09:04,028 INFO [root] [base.py | __init__:14] - 正在初始化driver：<selenium.webdriver.chrome.webdriver.WebDriver (session="aeed9c94705f64a9f66bf8d981399223")>
2023-04-05 18:09:05,030 INFO [root] [base.py | base_click:48] - 正在对[link text:登录]元素进行点击
2023-04-05 18:09:05,030 INFO [root] [base.py | base_find:25] - 正在定位[link text:登录]
2023-04-05 18:09:05,322 INFO [root] [page_login.py | login:36] - 正在调用TPshop登录业务方法，用户名：13800001111，密码：123123，验证码：8888
2023-04-05 18:09:05,323 INFO [root] [base.py | base_find:25] - 正在定位[id:username]
2023-04-05 18:09:05,333 INFO [root] [base.py | base_input:37] - 正在对[id:username]输入框进行清空
2023-04-05 18:09:05,365 INFO [root] [base.py | base_input:39] - 正在对[id:username]输入框输入内容：13800001111
2023-04-05 18:09:05,417 INFO [root] [base.py | base_find:25] - 正在定位[id:password]
2023-04-05 18:09:05,428 INFO [root] [base.py | base_input:37] - 正在对[id:password]输入框进行清空
2023-04-05 18:09:05,458 INFO [root] [base.py | base_input:39] - 正在对[id:password]输入框输入内容：123123
2023-04-05 18:09:05,513 INFO [root] [base.py | base_find:25] - 正在定位[id:verify_code]
2023-04-05 18:09:05,526 INFO [root] [base.py | base_input:37] - 正在对[id:verify_code]输入框进行清空
2023-04-05 18:09:05,565 INFO [root] [base.py | base_input:39] - 正在对[id:verify_code]输入框输入内容：8888
2023-04-05 18:09:06,625 INFO [root] [base.py | base_click:48] - 正在对[class name:J-login-submit]元素进行点击
2023-04-05 18:09:06,625 INFO [root] [base.py | base_find:25] - 正在定位[class name:J-login-submit]
